"King County, WA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenic Hill,neighborhood,All Homes,"$446,700",0.9%,3.3%,8.6%,8.5%,5.4%,---,---,---,---,$228,0.9%,3.2%,8.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Seahurst,neighborhood,All Homes,"$646,300",1.1%,3.1%,5.3%,7.9%,4.5%,---,---,---,---,$299,1.0%,3.1%,5.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Seaview,neighborhood,All Homes,"$779,400",0.8%,2.3%,4.1%,8.2%,5.9%,---,---,---,---,$462,0.7%,2.2%,4.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,630",0.0%,-2.0%,0.5%
Seola Beach,neighborhood,All Homes,"$888,900",1.3%,3.4%,8.0%,7.1%,4.9%,---,---,---,---,$355,1.4%,3.5%,7.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Seward Park,neighborhood,All Homes,"$947,200",0.4%,1.5%,2.9%,8.3%,5.9%,---,---,---,---,$419,0.2%,1.5%,2.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,936",0.4%,-1.1%,3.9%
Shadow Hawk,neighborhood,All Homes,"$336,200",1.1%,3.6%,8.6%,9.7%,5.1%,---,---,---,---,$282,1.1%,3.7%,8.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Shamrock Heights,neighborhood,All Homes,"$784,000",1.0%,2.6%,2.9%,7.2%,5.7%,---,---,---,---,$283,1.1%,2.5%,2.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Shorewood,neighborhood,All Homes,"$603,100",1.2%,2.7%,5.5%,9.2%,5.8%,---,---,---,---,$309,1.3%,2.7%,5.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Si View,neighborhood,All Homes,"$729,800",0.7%,2.4%,5.2%,9.5%,6.2%,---,---,---,---,$310,0.6%,2.3%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Silver Creek,neighborhood,All Homes,"$591,400",1.3%,4.2%,9.0%,10.7%,5.7%,---,---,---,---,$311,1.3%,4.4%,9.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Snake Hill,neighborhood,All Homes,"$544,000",0.8%,3.3%,7.2%,8.2%,5.4%,---,---,---,---,$251,0.8%,3.3%,7.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Somerset,neighborhood,All Homes,"$1,310,400",1.0%,3.1%,5.0%,8.0%,7.1%,---,---,---,---,$474,1.1%,3.0%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$3,751",0.9%,0.6%,6.6%
Sorrento,neighborhood,All Homes,"$820,900",0.7%,2.8%,4.6%,7.6%,6.1%,---,---,---,---,$279,0.7%,2.6%,4.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
South Beacon Hill,neighborhood,All Homes,"$519,100",0.2%,0.6%,0.5%,9.6%,6.2%,---,---,---,---,$876,0.2%,0.7%,0.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,275",-1.0%,-4.1%,-2.9%
South Cove,neighborhood,All Homes,"$964,300",1.1%,3.9%,5.9%,8.9%,6.5%,---,---,---,---,$423,1.0%,3.7%,5.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$3,017",1.4%,0.9%,4.8%
South Delridge,neighborhood,All Homes,"$502,700",0.7%,2.2%,2.5%,11.5%,6.8%,---,---,---,---,"$1,308",0.7%,2.2%,2.4%,---,---,---,---,"$470,000",3.9%,1.1%,0.4%,---,---,---,---,$353,0.0%,2.4%,3.0%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,082",-1.7%,-5.8%,-4.8%
South Des Moines,neighborhood,All Homes,"$420,600",1.0%,2.9%,7.4%,10.3%,5.5%,---,---,---,---,$271,1.1%,3.0%,7.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,178",1.5%,-0.7%,3.8%
South Fork,neighborhood,All Homes,"$536,900",-0.6%,-3.8%,-9.9%,3.8%,1.7%,---,---,---,---,$260,-0.8%,-4.1%,-10.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
South Juanita,neighborhood,All Homes,"$645,000",1.1%,3.4%,5.2%,10.2%,6.8%,---,---,---,---,$453,1.1%,3.2%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,$411,2.3%,4.9%,8.0%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,321",0.6%,0.9%,4.0%
South Lake Union,neighborhood,All Homes,"$578,800",-0.2%,0.6%,-2.1%,6.8%,6.6%,---,---,---,---,$774,-0.1%,0.7%,-2.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
South Park,neighborhood,All Homes,"$478,800",0.7%,2.1%,5.8%,11.6%,6.7%,---,---,---,---,$380,0.8%,2.2%,5.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,115",0.9%,-5.6%,-4.9%
South Renton,neighborhood,All Homes,"$396,900",1.1%,4.3%,12.1%,12.3%,6.3%,---,---,---,---,$407,1.0%,4.1%,12.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
South Rose Hill,neighborhood,All Homes,"$982,400",1.4%,3.7%,4.9%,9.4%,7.1%,---,---,---,---,$493,1.4%,3.8%,4.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,835",-0.3%,-1.0%,3.9%
South Union,neighborhood,All Homes,"$561,000",0.8%,3.0%,6.1%,8.1%,5.5%,---,---,---,---,$304,1.0%,3.1%,6.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Southern Heights,neighborhood,All Homes,"$438,200",1.2%,3.8%,10.0%,11.9%,6.1%,---,---,---,---,$312,1.3%,4.0%,10.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,036",0.3%,-2.7%,-2.2%
Squak Mountain,neighborhood,All Homes,"$781,500",1.0%,3.0%,5.1%,8.7%,6.6%,---,---,---,---,"$1,108",0.9%,2.9%,5.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,723",0.1%,0.1%,4.9%
Starwood,neighborhood,All Homes,"$782,600",0.6%,1.8%,2.5%,6.6%,5.4%,---,---,---,---,$296,0.7%,1.7%,2.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Steel Lake,neighborhood,All Homes,"$387,500",1.1%,3.5%,9.7%,9.7%,5.5%,---,---,---,---,$263,1.2%,3.5%,10.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,018",0.0%,-2.8%,1.6%
Stonegate,neighborhood,All Homes,"$1,056,000",1.1%,2.8%,6.5%,6.2%,5.1%,---,---,---,---,$332,0.9%,2.8%,6.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Summerfield,neighborhood,All Homes,"$553,200",0.7%,2.3%,5.1%,8.3%,6.7%,---,---,---,---,$266,0.8%,2.3%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Summerwind,neighborhood,All Homes,"$717,200",1.2%,3.0%,5.6%,9.1%,6.2%,---,---,---,---,$302,1.0%,2.7%,5.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Summit Park,neighborhood,All Homes,"$419,300",0.6%,1.2%,4.4%,9.9%,4.9%,---,---,---,---,$291,0.7%,1.0%,4.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Sunnydale,neighborhood,All Homes,"$356,300",1.2%,3.6%,9.8%,10.8%,4.7%,---,---,---,---,$364,1.1%,3.7%,9.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Sunset,neighborhood,All Homes,"$416,600",1.2%,3.5%,6.1%,10.1%,5.7%,---,---,---,---,$355,1.4%,3.5%,6.3%,---,---,---,---,"$390,000",4.0%,-7.6%,-2.3%,---,---,---,---,$259,-1.2%,-1.7%,0.9%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,022",-0.2%,-1.9%,-0.0%
Sunset Hill,neighborhood,All Homes,"$952,600",0.5%,1.2%,0.8%,7.1%,5.7%,---,---,---,---,$520,0.4%,1.2%,0.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,976",-0.6%,-2.5%,2.4%
Talbot Hill,neighborhood,All Homes,"$501,800",0.9%,2.9%,7.2%,8.3%,6.0%,---,---,---,---,$274,1.1%,3.0%,7.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Talus,neighborhood,All Homes,"$854,600",1.0%,2.9%,2.8%,7.3%,5.6%,---,---,---,---,$373,1.1%,2.8%,2.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,797",-1.0%,-1.7%,1.7%
Tam O'Shanter,neighborhood,All Homes,"$965,600",1.2%,3.8%,5.8%,9.3%,7.2%,---,---,---,---,$455,1.1%,3.9%,5.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,063",2.5%,1.2%,5.3%
Tanner,neighborhood,All Homes,"$642,700",0.3%,1.2%,4.4%,6.8%,3.4%,---,---,---,---,$357,0.3%,1.4%,4.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
The Highlands,neighborhood,All Homes,"$2,995,000",-0.9%,-1.7%,-3.2%,3.7%,3.8%,---,---,---,---,$775,-0.9%,-1.6%,-3.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
The Lakes,neighborhood,All Homes,"$319,800",1.1%,3.9%,8.4%,10.7%,4.0%,---,---,---,---,$267,1.1%,3.9%,8.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,966",0.3%,3.8%,7.5%
Tiffany Park,neighborhood,All Homes,"$495,700",0.9%,3.5%,9.4%,8.9%,5.7%,---,---,---,---,$251,0.8%,3.3%,9.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Totem Lake,neighborhood,All Homes,"$356,700",1.4%,3.6%,5.1%,12.8%,7.0%,---,---,---,---,$377,1.6%,3.6%,5.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,814",---,-0.3%,2.0%
Town Center,neighborhood,All Homes,"$313,600",0.8%,3.0%,5.3%,12.3%,7.7%,---,---,---,---,$397,1.0%,3.1%,5.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Twin Lakes,neighborhood,All Homes,"$418,800",1.3%,4.3%,10.8%,9.2%,5.2%,7.4%,1.3%,-3.3%,-3.8%,$464,1.3%,4.3%,10.7%,3.0%,0.8%,1.0%,-0.4%,"$389,500",-0.6%,1.2%,2.5%,---,---,---,---,$205,-0.7%,-0.8%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,154",-1.5%,-1.2%,3.5%
University District,neighborhood,All Homes,"$835,200",0.3%,1.0%,0.2%,8.0%,6.5%,---,---,---,---,$575,0.3%,0.9%,0.2%,---,---,---,---,"$585,000",-1.6%,-7.0%,---,---,---,---,---,$517,6.2%,5.3%,6.7%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,657",-2.0%,-2.2%,2.0%
Upper West Ridge,neighborhood,All Homes,"$762,600",0.9%,3.0%,4.0%,9.1%,6.5%,---,---,---,---,$349,1.2%,3.3%,4.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,712",0.0%,-1.5%,4.7%
Uptown,neighborhood,All Homes,"$501,700",0.7%,2.0%,-2.2%,9.0%,5.5%,---,---,---,---,-$864,---,---,---,---,---,---,---,"$449,000",9.5%,-0.2%,-2.8%,---,---,---,---,$635,3.9%,3.8%,-2.2%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,143",1.2%,4.1%,6.4%
Valley Industrial,neighborhood,All Homes,"$508,000",-0.2%,-0.6%,2.4%,9.5%,8.2%,---,---,---,---,$443,-0.2%,-0.7%,2.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Valley Vue,neighborhood,All Homes,"$573,600",1.3%,4.3%,8.8%,7.7%,4.7%,---,---,---,---,$238,1.3%,3.9%,8.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Vasa,neighborhood,All Homes,"$901,200",0.8%,3.0%,5.4%,9.3%,6.9%,---,---,---,---,$442,0.9%,3.0%,5.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,875",1.0%,0.3%,4.4%
VerCello,neighborhood,All Homes,"$775,000",0.5%,1.9%,1.2%,7.2%,6.1%,---,---,---,---,$249,0.4%,1.6%,1.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Victoria Hills,neighborhood,All Homes,"$506,000",1.2%,4.1%,8.6%,9.0%,5.8%,---,---,---,---,$263,1.2%,4.0%,8.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Victoria Park,neighborhood,All Homes,"$497,900",1.3%,4.5%,10.2%,9.0%,6.2%,---,---,---,---,$263,1.2%,4.4%,10.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Victory Heights,neighborhood,All Homes,"$687,600",0.7%,1.9%,1.2%,9.1%,6.6%,---,---,---,---,$453,0.7%,2.0%,1.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,485",-1.7%,-1.8%,1.3%
View Ridge,neighborhood,All Homes,"$1,062,500",0.8%,2.1%,2.8%,8.2%,6.3%,---,---,---,---,$528,0.8%,2.1%,2.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,983",-1.4%,-2.1%,2.0%
Vineyards,neighborhood,All Homes,"$591,700",0.9%,2.7%,6.5%,8.1%,6.5%,---,---,---,---,$296,1.0%,2.8%,6.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Wallingford,neighborhood,All Homes,"$972,700",1.0%,2.4%,2.2%,7.7%,6.4%,---,---,---,---,$631,1.0%,2.3%,2.1%,---,---,---,---,"$797,300",-0.3%,-2.2%,-13.5%,---,---,---,---,$628,7.9%,5.1%,-2.0%,---,---,---,---,---,---,---,---,0,---,---,---,"$3,010",-0.9%,-3.2%,0.8%
Waterfront,neighborhood,All Homes,"$736,800",0.1%,-0.1%,-2.9%,6.8%,5.3%,---,---,---,---,$703,0.1%,-0.1%,-2.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Wedge,neighborhood,All Homes,"$759,300",1.0%,3.1%,3.4%,8.2%,6.2%,---,---,---,---,$338,0.9%,3.0%,3.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Wedgwood,neighborhood,All Homes,"$835,900",0.8%,1.7%,0.5%,7.8%,6.2%,---,---,---,---,$483,0.8%,1.7%,0.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,-3.4%,"$2,750",-1.2%,-3.8%,2.4%
West Campus,neighborhood,All Homes,"$329,300",1.2%,3.8%,9.3%,9.9%,4.9%,---,---,---,---,$234,0.9%,3.5%,9.3%,---,---,---,---,---,---,---,---,---,---,---,---,$217,0.7%,3.1%,15.5%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,882",-1.7%,0.1%,3.2%
West Hill,neighborhood,All Homes,"$426,400",1.4%,3.8%,8.2%,9.7%,6.1%,---,---,---,---,$245,1.7%,3.8%,8.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,206",1.1%,-0.2%,2.9%
West Lake Sammamish,neighborhood,All Homes,"$1,955,000",0.8%,2.2%,4.4%,8.4%,6.5%,---,---,---,---,$784,0.9%,2.2%,4.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
West Queen Anne,neighborhood,All Homes,"$1,088,300",0.6%,1.9%,2.0%,8.2%,6.5%,---,---,---,---,$686,0.6%,1.9%,1.9%,---,---,---,---,"$869,500",-3.3%,-10.1%,5.4%,---,---,---,---,$573,2.4%,-0.5%,-7.3%,---,---,---,---,---,---,---,---,0,---,---,---,"$3,109",-0.1%,-2.2%,0.6%
West Wellington,neighborhood,All Homes,"$861,800",0.6%,1.8%,4.2%,7.4%,5.4%,---,---,---,---,$344,0.6%,1.8%,4.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
West Woodland,neighborhood,All Homes,"$807,800",0.7%,1.5%,-0.2%,8.3%,6.7%,---,---,---,---,$573,0.7%,1.6%,-0.2%,---,---,---,---,"$750,000",-1.0%,8.7%,0.0%,---,---,---,---,$553,3.6%,-3.6%,1.3%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,872",-0.1%,-0.2%,3.1%
Westlake,neighborhood,All Homes,"$654,500",0.4%,1.8%,0.6%,10.0%,6.2%,---,---,---,---,"$2,465",0.4%,1.8%,0.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,488",0.0%,-0.8%,2.3%
Westminster Triangle,neighborhood,All Homes,"$587,000",0.0%,0.7%,1.0%,9.6%,5.8%,---,---,---,---,$420,0.0%,0.7%,1.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Whittier Heights,neighborhood,All Homes,"$838,200",0.6%,1.8%,2.2%,7.9%,6.9%,---,---,---,---,$547,0.6%,1.9%,2.2%,---,---,---,---,"$725,000",0.7%,3.6%,-4.5%,---,---,---,---,$487,-0.2%,-4.1%,0.1%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,874",0.8%,-0.3%,4.1%
Wilburton,neighborhood,All Homes,"$935,600",0.5%,1.6%,0.5%,9.6%,7.5%,---,---,---,---,$548,0.6%,1.7%,0.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,865",2.1%,1.9%,6.9%
Windermere,neighborhood,All Homes,"$1,588,700",0.8%,1.9%,3.8%,7.9%,6.1%,---,---,---,---,$637,0.8%,1.9%,3.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Windsong,neighborhood,All Homes,"$614,800",1.3%,3.5%,6.4%,8.0%,5.9%,---,---,---,---,$290,1.4%,3.6%,6.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Windwood,neighborhood,All Homes,"$741,700",0.7%,2.0%,2.2%,8.5%,5.8%,---,---,---,---,$260,0.8%,2.0%,2.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Winsper,neighborhood,All Homes,"$561,800",0.9%,2.9%,5.0%,7.5%,5.3%,---,---,---,---,$261,1.2%,3.2%,5.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
WoodRidge,neighborhood,All Homes,"$965,700",-0.1%,-0.4%,-3.1%,8.6%,7.2%,---,---,---,---,$529,-0.2%,-0.4%,-3.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,840",2.3%,1.8%,6.2%
Woodbury Lane,neighborhood,All Homes,"$480,100",1.2%,3.9%,7.5%,8.8%,5.6%,---,---,---,---,$272,1.1%,3.8%,7.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Woodinville Heights,neighborhood,All Homes,"$741,700",0.7%,2.2%,3.9%,7.7%,5.6%,---,---,---,---,$328,0.6%,2.2%,3.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Woodland,neighborhood,All Homes,"$954,700",-0.2%,1.2%,-13.5%,1.5%,---,---,---,---,---,$977,-0.1%,1.2%,-13.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Woodmont,neighborhood,All Homes,"$430,000",1.1%,3.3%,9.3%,9.2%,4.5%,---,---,---,---,$251,1.2%,3.3%,9.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,187",1.1%,-1.5%,2.1%
Yesler Terrace,neighborhood,All Homes,"$760,500",0.6%,1.4%,0.3%,9.2%,6.6%,---,---,---,---,$584,0.7%,1.4%,0.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Zenith,neighborhood,All Homes,"$416,100",1.2%,3.4%,7.4%,10.5%,5.3%,---,---,---,---,$304,1.3%,3.4%,7.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,-6.5%,"$2,056",-0.6%,-1.7%,2.6%
