Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized
King County,county,All Homes,"$667,300",0.9%,2.7%,4.5%,8.8%,6.0%
98001,zipcode,All Homes,"$432,800",1.2%,3.9%,9.4%,9.1%,4.9%
98002,zipcode,All Homes,"$358,500",1.3%,4.1%,11.5%,10.3%,5.1%
98003,zipcode,All Homes,"$392,800",1.2%,3.7%,10.1%,9.7%,5.3%
98004,zipcode,All Homes,"$1,613,200",0.8%,2.5%,4.9%,9.8%,7.1%
98005,zipcode,All Homes,"$1,118,500",0.1%,0.3%,-1.0%,8.9%,7.1%
98006,zipcode,All Homes,"$1,074,800",1.0%,3.2%,4.5%,8.6%,6.9%
98007,zipcode,All Homes,"$759,200",0.8%,2.5%,3.2%,10.4%,7.4%
98008,zipcode,All Homes,"$887,700",1.0%,3.0%,4.4%,9.5%,7.2%
98010,zipcode,All Homes,"$486,600",1.1%,3.2%,7.8%,7.1%,4.5%
98011,zipcode,All Homes,"$698,200",0.9%,2.8%,4.4%,9.0%,6.5%
98014,zipcode,All Homes,"$690,600",0.8%,3.0%,7.5%,8.2%,4.8%
98019,zipcode,All Homes,"$661,400",0.8%,2.7%,6.8%,8.1%,5.4%
98022,zipcode,All Homes,"$453,700",1.3%,4.1%,10.6%,8.1%,4.1%
98023,zipcode,All Homes,"$430,000",1.2%,3.9%,9.8%,8.8%,4.9%
98024,zipcode,All Homes,"$763,000",1.0%,2.8%,5.2%,8.1%,5.1%
98027,zipcode,All Homes,"$778,300",0.9%,2.8%,4.8%,8.0%,5.7%
98028,zipcode,All Homes,"$716,200",0.8%,2.5%,3.2%,8.5%,6.2%
98029,zipcode,All Homes,"$774,500",0.7%,2.2%,2.8%,8.1%,6.3%
98030,zipcode,All Homes,"$435,600",1.1%,3.6%,8.6%,9.3%,5.4%
98031,zipcode,All Homes,"$461,500",0.9%,3.1%,8.2%,9.0%,5.4%
98032,zipcode,All Homes,"$395,400",1.3%,4.0%,9.0%,9.7%,5.0%
98033,zipcode,All Homes,"$1,080,500",1.0%,2.9%,5.0%,9.6%,7.2%
98034,zipcode,All Homes,"$701,900",1.0%,3.1%,4.6%,9.9%,7.0%
98038,zipcode,All Homes,"$523,900",1.0%,3.1%,7.5%,7.7%,4.9%
98039,zipcode,All Homes,"$2,997,900",0.8%,2.5%,4.7%,8.1%,6.9%
98040,zipcode,All Homes,"$1,663,800",0.6%,1.7%,2.6%,8.2%,6.0%
98042,zipcode,All Homes,"$476,600",1.1%,3.5%,8.6%,8.5%,4.9%
98045,zipcode,All Homes,"$619,000",0.8%,2.6%,5.7%,8.7%,5.3%
98047,zipcode,All Homes,"$378,700",1.3%,4.2%,11.4%,9.7%,4.0%
98050,zipcode,All Homes,"$855,300",1.7%,5.2%,8.6%,7.5%,5.1%
98051,zipcode,All Homes,"$611,400",1.5%,4.2%,9.4%,8.7%,5.1%
98052,zipcode,All Homes,"$881,100",1.1%,3.1%,4.6%,9.2%,6.9%
98053,zipcode,All Homes,"$933,500",0.8%,2.6%,4.7%,7.7%,5.8%
98055,zipcode,All Homes,"$464,500",1.2%,4.0%,8.8%,9.2%,5.6%
98056,zipcode,All Homes,"$590,600",0.8%,2.2%,4.1%,8.6%,5.8%
98057,zipcode,All Homes,"$434,600",1.3%,4.2%,9.2%,10.7%,5.6%
98058,zipcode,All Homes,"$505,500",1.2%,3.9%,8.7%,8.5%,5.3%
98059,zipcode,All Homes,"$640,600",1.0%,3.1%,5.2%,7.9%,5.5%
98065,zipcode,All Homes,"$721,400",0.7%,2.5%,4.6%,8.3%,5.6%
98068,zipcode,All Homes,"$483,200",0.4%,1.3%,4.3%,7.8%,4.8%
98070,zipcode,All Homes,"$690,300",1.3%,3.4%,6.7%,8.0%,3.9%
98072,zipcode,All Homes,"$812,700",0.8%,2.4%,3.7%,8.4%,5.9%
98074,zipcode,All Homes,"$966,900",0.9%,2.9%,4.8%,8.0%,6.3%
98075,zipcode,All Homes,"$1,098,900",0.8%,2.4%,3.5%,7.1%,5.9%
98077,zipcode,All Homes,"$956,300",0.9%,2.5%,5.0%,7.3%,5.4%
98092,zipcode,All Homes,"$465,600",1.2%,3.5%,8.4%,8.3%,4.7%
98101,zipcode,All Homes,"$681,100",0.4%,1.2%,-1.1%,7.9%,5.9%
98102,zipcode,All Homes,"$738,500",0.5%,1.6%,0.2%,7.6%,5.6%
98103,zipcode,All Homes,"$842,500",0.8%,2.3%,2.3%,8.4%,6.6%
98104,zipcode,All Homes,"$640,500",0.4%,1.8%,1.5%,8.4%,5.3%
98105,zipcode,All Homes,"$1,034,000",0.6%,1.3%,1.1%,7.8%,6.3%
98106,zipcode,All Homes,"$553,700",0.7%,2.3%,3.1%,11.1%,6.4%
98107,zipcode,All Homes,"$798,700",0.6%,1.5%,-0.2%,8.1%,6.7%
98108,zipcode,All Homes,"$617,500",1.0%,3.4%,5.7%,10.6%,6.7%
98109,zipcode,All Homes,"$756,200",0.5%,1.7%,0.2%,8.4%,5.8%
98112,zipcode,All Homes,"$1,287,300",0.6%,2.3%,3.3%,7.8%,6.0%
98115,zipcode,All Homes,"$861,600",0.8%,2.1%,1.8%,8.0%,6.5%
98116,zipcode,All Homes,"$816,300",0.7%,2.3%,4.0%,7.6%,5.5%
98117,zipcode,All Homes,"$844,000",0.6%,1.7%,1.6%,7.9%,6.5%
98118,zipcode,All Homes,"$622,800",0.8%,2.4%,3.6%,10.2%,6.1%
98119,zipcode,All Homes,"$976,700",0.5%,1.7%,0.7%,8.2%,6.4%
98121,zipcode,All Homes,"$634,000",0.3%,1.3%,-2.0%,8.8%,5.3%
98122,zipcode,All Homes,"$815,100",0.7%,2.2%,2.8%,9.2%,7.0%
98125,zipcode,All Homes,"$685,200",0.7%,2.0%,1.3%,9.0%,6.4%
98126,zipcode,All Homes,"$646,200",0.6%,2.4%,3.3%,9.2%,6.0%
98133,zipcode,All Homes,"$618,100",0.8%,2.5%,3.2%,9.9%,6.4%
98134,zipcode,All Homes,"$435,300",0.3%,1.6%,1.8%,11.2%,7.4%
98136,zipcode,All Homes,"$769,400",0.7%,2.1%,3.1%,8.1%,5.8%
98144,zipcode,All Homes,"$749,500",0.5%,1.8%,2.3%,9.2%,6.3%
98146,zipcode,All Homes,"$529,700",0.9%,2.9%,5.8%,10.5%,5.7%
98148,zipcode,All Homes,"$464,600",1.0%,3.1%,7.1%,10.7%,5.6%
98155,zipcode,All Homes,"$627,800",0.8%,2.5%,3.7%,9.4%,6.2%
98164,zipcode,All Homes,"$780,800",-0.4%,-1.2%,-2.7%,7.6%,5.4%
98166,zipcode,All Homes,"$618,100",1.0%,2.9%,5.6%,8.6%,5.4%
98168,zipcode,All Homes,"$437,400",1.1%,3.4%,8.3%,11.3%,6.0%
98177,zipcode,All Homes,"$820,300",0.6%,1.7%,2.7%,7.8%,5.7%
98178,zipcode,All Homes,"$505,100",0.9%,2.9%,6.0%,11.0%,6.1%
98188,zipcode,All Homes,"$428,200",1.3%,4.3%,9.2%,11.0%,5.5%
98198,zipcode,All Homes,"$427,600",1.2%,3.5%,8.3%,10.0%,5.2%
98199,zipcode,All Homes,"$1,013,900",0.4%,1.7%,2.7%,7.6%,5.9%
98224,zipcode,All Homes,"$313,400",1.3%,4.0%,12.7%,9.3%,---
98251,zipcode,All Homes,"$333,100",0.9%,2.8%,7.2%,10.2%,5.1%
98288,zipcode,All Homes,"$296,100",0.2%,-0.0%,1.4%,7.0%,---
98354,zipcode,All Homes,"$406,000",1.4%,3.1%,8.5%,10.2%,5.2%
